country,sites,population_50km,cells
Anguilla,2,102419.97449904098,10077
Antigua and Barbuda,4,92664.00000444846,19238
Australia,1174,4819050.342286435,751098
Bahamas,229,401206.35280825396,214352
Bahrain,20,4352587.265417131,30631
Bangladesh,2,391826.0799950479,10005
Barbados,42,280692.99996881373,26067
Belize,225,826501.6273466405,66605
Bermuda,42,64030.99996467633,26030
Brazil,137,6760097.213931207,121255
Brunei,41,625702.2124838901,21911
Cambodia,109,296562.3151382349,18818
Cayman Islands,58,67310.9999684798,31612
Chile,2,6597.648416962475,11348
China,102,22888450.358610023,31227
Colombia,147,2493615.3914526384,126765
Commonwealth of the Northern Mariana Islands,43,49587.00001079342,79122
Comoro Islands,3,752435.5267502749,19823
Cook Islands,17,13746.887187154964,29503
Costa Rica,18,917628.636400629,58176
Cuba,252,7307403.666549198,271247
Djibouti,24,1018915.7812861758,33790
Dominica,36,149415.35839367035,27006
Dominican Republic,114,9629411.743367016,95868
East Timor,10,451680.8823697875,11049
Ecuador,33,308684.0962604698,87834
Egypt,165,714982.8954174065,116033
Eritrea,4,737610.0640969189,16681
Federated States of Micronesia,38,50491.06904189149,58672
Fiji,333,911936.7199583056,201085
France,102,1790519.8088145896,78905
French Polynesia,138,282575.02701778687,172589
Grenada,19,128175.70534947864,16918
Guatemala,4,1225339.134522706,16076
Haiti,74,10603260.418067887,85949
Honduras,82,644690.6094389907,32785
India,65,5069002.411132196,140956
Indonesia,634,66182477.81943131,667682
Iran,22,1264456.3079749017,71237
Israel,6,5584508.889135185,21706
Jamaica,216,2820435.6512410995,67599
Japan,735,38546581.929848224,478668
Jordan,3,247892.93526183022,11243
Kenya,51,3841688.8553628516,54829
Kiribati,10,94206.51096417838,27930
Kuwait,5,1370560.575468847,26628
Madagascar,99,2276278.6843714076,168918
Malaysia,672,8135588.392139035,244169
Maldives,184,414703.9537544852,104568
Marshall Islands,20,30743.36996021634,57134
Martinique,16,476775.2205328147,31102
Mauritius,58,1297556.3315023207,46213
Mexico,265,4146710.4351684283,165433
Montserrat,6,21457.216206239093,10448
Mozambique,38,6274064.912592972,148634
Myanmar,22,162766.21551438465,38957
Netherlands Antilles,88,515956.1904481688,60244
New Caledonia,83,282752.0336108911,109796
Nicaragua,13,8557.60354270786,13646
Oman,56,3451728.162678574,92891
Palau,9,17736.405871177092,19702
Panama,120,1552176.611040446,111243
Papua New Guinea,78,1432781.6787809208,132865
Philippines,491,53868069.19551326,368797
Saint Kitts and Nevis,9,147791.30751265472,19511
Saint Lucia,23,341988.0813396454,20887
Saint Vincent and the Grenadines,19,109964.54395770025,17968
Samoa,4,218345.1978176692,19596
Sao Tome & Principe,3,7904.8684289548555,11490
Saudi Arabia,31,6484313.090788662,138674
Seychelles,25,104934.51293953275,63249
Singapore,2,9421376.492346466,10018
Solomon Islands,82,467947.0729791472,107115
South Africa,24,4503968.260575847,61872
Sri Lanka,16,11187610.775628373,72379
Sudan,11,805734.9244865035,35768
Taiwan,108,12548068.080725277,86939
Tanzania,66,10337731.859659787,74343
Thailand,185,9962898.59877608,182970
Tonga,7,103178.46214847825,40700
Trinidad and Tobago,88,308126.4540602861,19721
Turks and Caicos,70,44275.99995076214,43055
Tuvalu,2,8469.808549925685,18492
United Arab Emirates,20,7535492.244582947,64071
United Kingdom,50,83794.65714729532,73771
United States,3303,11933789.34647785,415772
Vanuatu,24,160041.49461989373,67162
Venezuela,33,2489661.4150892817,63195
Vietnam,193,8804188.317236135,140701
Yemen,14,436784.007386219,68849
nd,1,0.0,9435
