country,fishery
American Samoa,1847
Anguilla,208
Antigua and Barbuda,864
Aruba,1018
Australia,29593
Bahamas,12000
Bahrain,7200
Bangladesh,230498
Barbados,566
Belize,6926
Bermuda,2158
Brazil,144433
British Virgin Islands,1579
Brunei Darsm,920
Cambodia,14364
Cayman Islands,1318
China,189467
Colombia,12188
Comoros,12077
Cook Islands,3971
Costa Rica,12303
Cuba,11890
Djibouti,901
Dominica,1377
Dominican Republic,9000
Ecuador,10439
Egypt,205260
Eritrea,11255
Federated States of Micronesia,35960
Fiji,43475
Florida & US Gulf of Mexico,45000
French Polynesia,21495
Grenada,1953
Guadeloupe,2446
Guam,1817
Haiti,55045
Hawaii,42480
Honduras,12454
India,958530
Indonesia,1657757
Iran,15953
Israel,400
Jamaica,20000
Japan,30576
Jordan,90
Kenya,12938
Kiribati,14260
Kuwait,3566
Madagascar,61906
Malaysia,83720
Maldives,30223
Marshall Islands,21743
Martinique,2500
Mauritius,7127
Mayotte,1005
Mexico,64705
Mozambique,50326
Myanmar,123746
Nauru,292
Netherland Antilles,790
New Caledonia,23539
Nicaragua,6755
Niue,607
Northern Mariana Islands,603
Oman,10287
Palau,3795
Panama,6551
Papua New Guinea,107952
Philippines,911754
Puerto Rico,1163
Qatar,4505
Reunion,1060
St. Kitts and Nevis,488
St. Lucia,1040
St. Vincent and the Grenadines,587
Samoa,3586
Saudi Arabia,24500
Seychelles,2000
Solomon Islands,58930
Somalia,3694
Sri Lanka,22417
Sudan,27254
Taiwan,26516
Tanzania,108789
Thailand,99807
Timor-Leste,5415
Tokelau,179
Tonga,7170
Trinidad and Tobago,6005
Turks and Caicos Islands,2524
Tuvalu,2708
United States Virgin Islands,981
United Arab Emirates,12385
Vanuatu,9410
Venezuela,21291
Vietnam,204546
Wallis and Futuna,10357
Yemen,20993
