country,shoreline,annual_averted_damages_musd
Bahamas,392.0,14.0
Belize,663.0,9.0
Cambodia,86.0,
Cayman Islands,147.0,
Cuba,8061.0,401.0
Dominican Republic,6872.0,96.0
Egypt,99.0,
Grenada,137.0,
Guadeloupe,71.0,
Haiti,1323.0,
Honduras,766.0,
India,214.0,
Indonesia,56034.0,639.0
Iran,243.0,
Jamaica,1687.0,46.0
Madagascar,222.0,
Malaysia,12340.0,452.0
Mexico,15391.0,452.0
Myanmar,7166.0,33.0
Papua New Guinea,344.0,
Philippines,73162.0,590.0
Saudi Arabia,1865.0,138.0
Solomon Islands,104.0,
Somalia,172.0,
Sri Lanka,50.0,
Taiwan,595.0,61.0
Thailand,2077.0,32.0
United States,1102.0,94.0
Venezuela,93.0,
Vietnam,6319.0,42.0
