country,habitat,regions
Anguilla,198,1
Antigua and Barbuda,198,1
Australia,630,16
Bahamas,160,1
Bahrain,43,1
Bangladesh,12,1
Barbados,198,1
Belize,193,1
Bermuda,52,1
Brazil,44,1
Brunei,289,1
Cambodia,112,1
Cayman Islands,122,1
Chile,12,1
China,7,2
Colombia,260,4
Commonwealth of the Northern Mariana Islands,136,1
Comoro Islands,67,1
Cook Islands,78,1
Costa Rica,216,3
Cuba,122,1
Djibouti,48,1
Dominica,198,1
Dominican Republic,198,1
East Timor,351,1
Ecuador,56,2
Egypt,237,1
Eritrea,85,1
Federated States of Micronesia,90,3
Fiji,0,0
France,359,3
French Polynesia,103,3
Grenada,198,1
Guatemala,193,1
Haiti,198,1
Honduras,193,1
India,400,5
Indonesia,642,13
Iran,67,2
Israel,237,1
Jamaica,69,1
Japan,344,8
Jordan,237,1
Kenya,185,1
Kiribati,27,1
Kuwait,43,1
Madagascar,375,3
Malaysia,450,3
Maldives,265,1
Marshall Islands,206,1
Martinique,198,1
Mauritius,140,1
Mexico,211,4
Montserrat,198,1
Mozambique,368,3
Myanmar,176,1
Netherlands Antilles,215,2
New Caledonia,334,1
Nicaragua,193,1
Oman,47,2
Palau,163,1
Panama,211,2
Papua New Guinea,254,2
Philippines,457,4
Saint Kitts and Nevis,198,1
Saint Lucia,198,1
Saint Vincent and the Grenadines,198,1
Samoa,0,0
Sao Tome & Principe,2,1
Saudi Arabia,276,3
Seychelles,120,2
Singapore,282,1
Solomon Islands,286,2
South Africa,102,1
Sri Lanka,187,2
Sudan,237,1
Taiwan,78,1
Tanzania,185,1
Thailand,210,2
Tonga,0,0
Trinidad and Tobago,215,2
Turks and Caicos,220,2
Tuvalu,0,0
United Arab Emirates,67,2
United Kingdom,296,2
United States,483,9
Vanuatu,185,1
Venezuela,147,1
Vietnam,115,4
Yemen,160,3
nd,0,0
