country,tourism
Anguilla,19685000.0
Antigua and Barbuda,66043000.0
Aruba,218226000.0
Australia,2176084000.0
"Bahamas, The",526058000.0
Bahrain,115837000.0
Barbados,180082000.0
Belize,80611000.0
Bermuda,223639000.0
Bonaire,90200000.0
Brazil,612864000.0
British Virgin Islands,195550000.0
Brunei Darussalam,28259000.0
Cambodia,18285000.0
Cayman Islands,292794000.0
China,1871814000.0
Colombia,147202000.0
Cook Islands,19106000.0
Costa Rica,169518000.0
Cuba,283290000.0
Curacao,116169000.0
Dominican Republic,511669000.0
Ecuador,58883000.0
"Egypt, Arab Rep.",5467295000.0
Fiji,234676000.0
French Polynesia,113657000.0
Grenada,23150000.0
Guadeloupe,90463000.0
Guam,323244000.0
Haiti,15206000.0
Honduras,446628000.0
India,464082000.0
Indonesia,3097453000.0
"Iran, Islamic Rep.",13345000.0
Jamaica,333386000.0
Japan,1177549000.0
Kenya,84152000.0
Kuwait,117236000.0
Madagascar,50496000.0
Malaysia,1148955000.0
Maldives,1085273000.0
Martinique,89337000.0
Mauritius,312389000.0
Mexico,2999883000.0
"Micronesia, Fed. Sts.",18108000.0
Mozambique,68356000.0
Myanmar,11581000.0
New Caledonia,28465000.0
Nicaragua,10975000.0
Northern Mariana Islands,61302000.0
Oman,221164000.0
Palau,92503000.0
Panama,154178000.0
Papua New Guinea,32024000.0
Philippines,1385144000.0
Puerto Rico,648867000.0
Qatar,108066000.0
Samoa,12490000.0
Saudi Arabia,268681000.0
Seychelles,73141000.0
Sint Maarten (Dutch part),116736000.0
Solomon Islands,21984000.0
Sri Lanka,82371000.0
St. Kitts and Nevis,16240000.0
St. Lucia,56574000.0
St. Vincent and the Grenadines,24639000.0
Sudan,28480000.0
Taiwan,323440000.0
Tanzania,131076000.0
Thailand,2410154000.0
Tonga,13291000.0
Trinidad and Tobago,44958000.0
Turks and Caicos Islands,97587000.0
United Arab Emirates,445654000.0
United States (Florida),1156835000.0
United States (Hawaii),1230894000.0
Vanuatu,49991000.0
"Venezuela, RB",281865000.0
Vietnam,137445000.0
Virgin Islands (U.S.),276056000.0
