country,international_and_domestic_tourist_arrivals,reef_associated_tourist_arrivals_trip_equivalents,all_visitor_spending_usd1000,reef_associated_visitor_expenditure_usd1000,reef_visitor_expenditure_pct_of_total_tourism,reef_tourism_pct_of_gdp,mean_value_of_reef_usd_per_km2
Anguilla,64000,10255,119445,19685,16.48,,376746
Antigua and Barbuda,848000,116014,477109,66043,13.84,5.48,568112
Aruba,1429000,208450,1492272,218226,14.62,,2198751
Australia,74251000,1877513,90449672,2176084,2.41,0.14,51883
"Bahamas, The",5089000,902815,2844029,526058,18.5,6.39,128904
Bahrain,9044000,389332,2685605,115837,4.31,0.38,297973
Barbados,1151000,159215,1293122,180082,13.93,4.18,2904548
Belize,947000,208678,345237,80611,23.35,5.12,48335
Bermuda,589000,186111,702121,223639,31.85,4.04,332920
Bonaire,276000,188574,130437,90200,69.15,,
Brazil,87279000,487219,122694007,612864,0.5,0.02,522587
British Virgin Islands,831000,258042,622891,195550,31.39,,733771
Brunei Darussalam,210000,7450,739702,28259,3.82,0.17,259853
Cambodia,9757000,82956,2104161,18285,0.87,0.13,157629
Cayman Islands,1815000,1045576,508131,292794,57.62,,1267506
China,2245979000,11038684,420232656,1871814,0.45,0.02,3110617
Colombia,13663000,178089,11211035,147202,1.31,0.04,103828
Cook Islands,107000,17133,114323,19106,16.71,,36203
Costa Rica,2466000,106220,3733991,169518,4.54,0.37,951013
Cuba,2482000,152174,4277047,283290,6.62,0.39,57585
Curacao,784000,177805,507590,116169,22.89,,
Dominican Republic,5166000,409302,6395653,511669,8.0,0.84,610948
Ecuador,5771000,119844,2251269,58883,2.62,0.07,277096
"Egypt, Arab Rep.",20370000,4724101,23575065,5467295,23.19,1.98,1735236
Fiji,680000,142685,1017290,234676,23.07,5.9,35004
French Polynesia,168000,35696,468236,113657,24.27,,19003
Grenada,422000,81451,119116,23150,19.43,,195772
Guadeloupe,494000,69101,623148,90463,14.52,,328956
Guam,1138000,270861,1352723,323244,23.9,,1439840
Haiti,831000,29586,392401,15206,3.88,0.19,17937
Honduras,1489000,347605,1837054,446628,24.31,2.41,420851
India,5715000,23133,87194397,464082,0.53,0.03,132737
Indonesia,241289000,18822384,39716601,3097453,7.8,0.34,78342
"Iran, Islamic Rep.",54846000,32806,16013573,13345,0.08,0.0,55259
Jamaica,2965000,349050,2807279,333386,11.88,2.26,436798
Japan,343226000,1823885,241197897,1177549,0.49,0.02,659322
Kenya,1334000,34487,3067070,84152,2.74,0.17,120518
Kuwait,266000,5650,4478156,117236,2.62,0.07,2056772
Madagascar,240000,10467,835111,50496,6.05,0.51,12836
Malaysia,67130000,2185940,34243208,1148955,3.36,0.37,391467
Maldives,807000,430202,1823053,1085273,59.53,43.17,205505
Martinique,603000,76707,689872,89337,12.95,,576368
Mauritius,946000,127384,2275378,312389,13.73,2.73,319989
Mexico,93585000,2795921,102653251,2999883,2.92,0.25,2025921
"Micronesia, Fed. Sts.",26000,12666,29110,18108,62.21,5.56,3677
Mozambique,3683000,381377,611147,68356,11.18,0.47,28075
Myanmar,287000,1720,1189213,11581,0.97,0.02,8520
New Caledonia,290000,49204,153460,28465,18.55,,3821
Nicaragua,1055000,11288,902113,10975,1.22,0.11,14498
Northern Mariana Islands,368000,121271,0,61302,,,337752
Oman,1498000,95234,3286009,221164,6.73,0.29,457423
Palau,93000,54487,142568,92503,64.88,43.19,95759
Panama,1698000,58470,3723675,154178,4.14,0.39,101383
Papua New Guinea,120000,8651,280504,32024,11.42,0.21,2203
Philippines,118187000,10457854,15685020,1385144,8.83,0.55,61607
Puerto Rico,5209000,488969,6868444,648867,9.45,0.64,1376906
Qatar,1656000,35318,4940983,108066,2.19,0.06,590525
Samoa,121000,9983,129426,12490,9.65,1.55,31089
Saudi Arabia,38672000,615316,16768331,268681,1.6,0.04,50952
Seychelles,192000,32234,413637,73141,17.68,6.45,38409
Sint Maarten (Dutch part),1959000,329946,692678,116736,16.85,,
Solomon Islands,20000,3088,84021,21984,26.16,2.14,3260
Sri Lanka,680000,16943,2873632,82371,2.87,0.12,351262
St. Kitts and Nevis,599000,79875,120747,16240,13.45,2.22,198049
St. Lucia,938000,139714,376735,56574,15.02,4.31,935107
St. Vincent and the Grenadines,227000,48260,112211,24639,21.96,3.56,289021
Sudan,473000,1547,1851436,28480,1.54,0.05,26530
Taiwan,41859000,522126,26511965,323440,1.22,,514417
Tanzania,817000,49099,1956504,131076,6.7,0.34,43583
Thailand,17241000,958037,42694824,2410154,5.65,0.61,4619366
Tonga,66000,14752,50732,13291,26.2,2.91,7998
Trinidad and Tobago,501000,37438,635986,44958,7.07,0.18,595470
Turks and Caicos Islands,883000,264271,324774,97587,30.05,,284718
United Arab Emirates,7300000,127025,24963019,445654,1.79,0.12,1248331
United States (Florida),2017351000,3233849,856234703,1156835,0.14,0.01,976644
United States (Hawaii),7018000,700818,12265462,1230894,10.04,,321089
Vanuatu,228000,39772,256716,49991,19.47,6.4,27730
"Venezuela, RB",13759000,194853,20244689,281865,1.39,0.07,386911
Vietnam,4434000,60874,9064517,137445,1.52,0.09,177006
Virgin Islands (U.S.),2390000,501109,1313019,276056,21.02,,2056283
