country,region,num_reef_fishers,alternate_source_estimate,alternate_estimate_year,alternate_estimate_source,source_name_verbatim
American Samoa,Western Pacific,1847,0,,,American Samoa
Anguilla,Eastern Pacific/Atlantic,208,0,,,Anguilla
Antigua and Barbuda,Eastern Pacific/Atlantic,864,1,2005,FAO 2012,Antigua and Barbuda*
Aruba,Eastern Pacific/Atlantic,1018,0,,,Aruba
Australia,Western Pacific,29593,0,,,Australia
Bahamas,Eastern Pacific/Atlantic,12000,1,2001,CARICOM 2001,Bahamas*
Bahrain,Middle East/NE Africa,7200,1,2001,FAO 2012,Bahrain*
Bangladesh,Indian Ocean,230498,0,,,Bangladesh
Barbados,Eastern Pacific/Atlantic,566,0,,,Barbados
Belize,Eastern Pacific/Atlantic,6926,0,,,Belize
Bermuda,Eastern Pacific/Atlantic,2158,0,,,Bermuda
Brazil,Eastern Pacific/Atlantic,144433,0,,,Brazil
British Virgin Islands,Eastern Pacific/Atlantic,1579,0,,,British Virgin Islands
Brunei Darsm,Southeast Asia,920,0,,,Brunei Darsm
Cambodia,Southeast Asia,14364,0,,,Cambodia
Cayman Islands,Eastern Pacific/Atlantic,1318,0,,,Cayman Islands
China,Southeast Asia,189467,0,,,China 1
Colombia,Eastern Pacific/Atlantic,12188,0,,,Colombia
Comoros,Indian Ocean,12077,0,,,Comoros
Cook Islands,Western Pacific,3971,0,,,Cook Islands
Costa Rica,Eastern Pacific/Atlantic,12303,0,,,Costa Rica
Cuba,Eastern Pacific/Atlantic,11890,1,2002,FAO 2012,Cuba*
Djibouti,Middle East/NE Africa,901,0,,,Djibouti
Dominica,Eastern Pacific/Atlantic,1377,0,,,Dominica
Dominican Republic,Eastern Pacific/Atlantic,9000,1,2010,Wielgus 2010,Dominican Republic*
Ecuador,Eastern Pacific/Atlantic,10439,0,,,Ecuador
Egypt,Middle East/NE Africa,205260,0,,,Egypt
Eritrea,Middle East/NE Africa,11255,0,,,Eritrea
Federated States of Micronesia,Western Pacific,35960,0,,,Federated States of Micronesia
Fiji,Western Pacific,43475,1,2007,Starkhouse 2009,Fiji*
Florida & US Gulf of Mexico,Eastern Pacific/Atlantic,45000,0,,,Florida & US Gulf of Mexico
French Polynesia,Western Pacific,21495,0,,,French Polynesia
Grenada,Eastern Pacific/Atlantic,1953,0,,,Grenada
Guadeloupe,Eastern Pacific/Atlantic,2446,0,,,Guadeloupe
Guam,Western Pacific,1817,0,,,Guam
Haiti,Eastern Pacific/Atlantic,55045,0,,,Haiti
Hawaii,Western Pacific,42480,0,,,Hawaii
Honduras,Eastern Pacific/Atlantic,12454,0,,,Honduras
India,Indian Ocean,958530,0,,,India
Indonesia,Southeast Asia,1657757,0,,,Indonesia
Iran,Middle East/NE Africa,15953,0,,,Iran
Israel,Middle East/NE Africa,400,0,,,Israel
Jamaica,Eastern Pacific/Atlantic,20000,0,2002,,Jamaica
Japan,Southeast Asia,30576,0,,,Japan 1
Jordan,Middle East/NE Africa,90,0,,,Jordan
Kenya,Indian Ocean,12938,0,,,Kenya
